time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
3.758000,-300.016000,-1100.191474,-300.016236,0.000000,6.580353,-0.292969,0.000236,2.899170,-2.109009,-3.110002
3.760000,-300.016000,-1100.191340,-300.016266,0.000000,4.005432,-0.878906,0.000266,3.570557,-1.609131,-3.686243
3.762000,-300.016000,-1100.191793,-300.016256,0.000000,-13.589859,0.292969,0.000256,3.570557,-1.861450,-2.550710
3.764000,-300.016000,-1100.191174,-300.016285,0.000000,18.596649,-0.878906,0.000285,3.997803,-1.904297,-3.796406
3.766000,-300.016000,-1100.191755,-300.016266,0.000000,-17.452240,0.585938,0.000266,3.997803,-1.532959,-2.787986
3.768000,-300.016000,-1100.191398,-300.016256,0.000000,10.728836,0.292969,0.000256,3.594971,-2.066162,-3.143899
3.770000,-300.016000,-1100.191398,-300.016275,0.000000,0.000000,-0.585938,0.000275,3.594971,-1.490112,-3.474390
3.772000,-300.016000,-1100.191755,-300.016266,0.000000,-10.728836,0.292969,0.000266,2.770996,-1.870972,-2.457495
3.774000,-300.016000,-1100.191145,-300.016305,0.000000,18.310547,-1.171875,0.000305,2.770996,-1.770996,-3.762510
3.776000,-300.016000,-1100.191798,-300.016285,0.000000,-19.598007,0.585938,0.000285,2.471924,-1.513916,-2.525288
3.778000,-300.016000,-1100.191302,-300.016295,0.000000,14.877319,-0.292969,0.000295,2.471924,-2.009033,-3.203218
3.780000,-300.016000,-1100.191469,-300.016295,0.000000,-5.006790,0.000000,0.000295,3.009033,-1.390137,-3.211692
3.782000,-300.016000,-1100.191674,-300.016275,0.000000,-6.151199,0.585938,0.000275,3.009033,-1.880493,-2.423599
3.784000,-300.016000,-1100.191135,-300.016305,0.000000,16.164780,-0.878906,0.000305,3.704834,-1.623413,-3.677768
3.786000,-300.016000,-1100.191813,-300.016275,0.000000,-20.313263,0.878906,0.000275,3.704834,-1.518677,-2.296487
3.788000,-300.016000,-1100.191193,-300.016285,0.000000,18.596649,-0.292969,0.000285,3.674316,-1.918579,-3.279485
3.790000,-300.016000,-1100.191536,-300.016275,0.000000,-10.299683,0.292969,0.000275,3.674316,-1.304443,-2.915098
3.792000,-300.016000,-1100.191555,-300.016275,0.000000,-0.572205,0.000000,0.000275,2.886963,-1.885254,-2.457495
3.794000,-300.016000,-1100.191145,-300.016295,0.000000,12.302399,-0.585938,0.000295,2.886963,-1.475830,-3.533708
3.796000,-300.016000,-1100.191784,-300.016256,0.000000,-19.168854,1.171875,0.000256,2.227783,-1.547241,-2.127004
3.798000,-300.016000,-1100.191092,-300.016285,0.000000,20.742416,-0.878906,0.000285,2.227783,-1.809082,-3.347278
3.800000,-300.016000,-1100.191593,-300.016275,0.000000,-15.020370,0.292969,0.000275,2.404785,-1.256836,-2.610029
3.802000,-300.016000,-1100.191417,-300.016266,0.000000,5.292892,0.292969,0.000266,2.404785,-1.870972,-2.542236
3.804000,-300.016000,-1100.191188,-300.016275,0.000000,6.866455,-0.292969,0.000275,3.173828,-1.337769,-3.330330
3.806000,-300.016000,-1100.191722,-300.016236,0.000000,-16.021729,1.171875,0.000236,3.173828,-1.585327,-2.008367
3.808000,-300.016000,-1100.191021,-300.016275,0.000000,21.028519,-1.171875,0.000275,3.601074,-1.675781,-3.372700
3.810000,-300.016000,-1100.191641,-300.016266,0.000000,-18.596649,0.292969,0.000266,3.601074,-1.237793,-2.313435
3.812000,-300.016000,-1100.191274,-300.016285,0.000000,11.014938,-0.585938,0.000285,3.125000,-1.837646,-2.660874
3.814000,-300.016000,-1100.191250,-300.016285,0.000000,0.715256,0.000000,0.000285,3.125000,-1.218750,-3.067632
3.816000,-300.016000,-1100.191631,-300.016246,0.000000,-11.444092,1.171875,0.000246,2.264404,-1.623413,-1.974470
3.818000,-300.016000,-1100.190978,-300.016266,0.000000,19.598007,-0.585938,0.000266,2.264404,-1.523438,-3.355752
3.820000,-300.016000,-1100.191660,-300.016227,0.000000,-20.456314,1.171875,0.000227,1.977539,-1.256836,-2.059211
3.822000,-300.016000,-1100.191131,-300.016236,0.000000,15.878677,-0.292969,0.000236,1.977539,-1.775757,-2.787986
3.824000,-300.016000,-1100.191317,-300.016256,0.000000,-5.578995,-0.585938,0.000256,2.532959,-1.128296,-2.771038
3.826000,-300.016000,-1100.191507,-300.016236,0.000000,-5.722046,0.585938,0.000236,2.532959,-1.656738,-2.008367
3.828000,-300.016000,-1100.190973,-300.016266,0.000000,16.021729,-0.878906,0.000266,3.271484,-1.371094,-3.262537
3.830000,-300.016000,-1100.191655,-300.016217,0.000000,-20.456314,1.464844,0.000217,3.271484,-1.299683,-1.847358
3.832000,-300.016000,-1100.191002,-300.016236,0.000000,19.598007,-0.585938,0.000236,3.283691,-1.685303,-2.923572
3.834000,-300.016000,-1100.191388,-300.016227,0.000000,-11.587143,0.292969,0.000227,3.283691,-1.071167,-2.474443
